position,team_name,games_played,won,drawn,lost,goals_scored,goals_conceded,goal_difference,points
1,Manchester City,2,2,0,0,6,1,5,6
2,Brighton & Hove Albion,2,2,0,0,5,1,4,6
3,Arsenal,2,2,0,0,4,0,4,6
4,Liverpool,2,2,0,0,4,0,4,6
5,Tottenham Hotspur,2,1,1,0,5,1,4,4
6,Newcastle United,2,1,1,0,2,1,1,4
7,Nottingham Forest,2,1,1,0,2,1,1,4
8,Chelsea,2,1,0,1,6,4,2,3
9,West Ham United,2,1,0,1,3,2,1,3
10,Fulham,2,1,0,1,2,2,0,3
11,Manchester United,2,1,0,1,2,2,0,3
12,Aston Villa,2,1,0,1,2,3,-1,3
13,Brentford,2,1,0,1,2,3,-1,3
14,Bournemouth,2,0,2,0,2,2,0,2
15,Leicester City,2,0,1,1,2,3,-1,1
16,Southampton,2,0,0,2,0,2,-2,0
17,Crystal Palace,2,0,0,2,1,4,-3,0
18,Ipswich Town,2,0,0,2,1,6,-5,0
19,Wolverhampton,2,0,0,2,2,8,-6,0
20,Everton,2,0,0,2,0,7,-7,0
